Uuid,Void/Retire,Name,_order:9998
f47ac10b-58cc-4372-a567-0e02b2c3d479,TRUE,Ubuntu Hospital,
44c3efb0-2583-4c80-a79e-1f756a03c0a1,TRUE,Outpatient Clinic,
ba685651-ed3b-4e63-9b35-78893060758a,TRUE,Inpatient Ward,
8d9045ad-50f0-45b8-93c8-3ed4bce19dbf,TRUE,Mobile Clinic,
1ce1b7d4-c865-4178-82b0-5932e51503d6,TRUE,Community Outreach,
184ac7d9-225a-41f8-bac7-c87b1327e1b0,TRUE,Ward 1,
5a7f3c53-6bb4-448b-a966-5e65b397b9f3,TRUE,Ward 2,
2272b8cd-b690-4878-a50c-40d22235b3f3,TRUE,Ward 3,
dbdaabf6-a326-4804-aba7-062073e05cd1,TRUE,Site 1,
4a06a96f-dd21-4695-8d76-b9c405cebafc,TRUE,Site 2,
d493f3eb-ba7c-4e6c-988d-62491e496045,TRUE,Site 3,
dd2ad4cd-e33a-40cc-955a-e91e313f9a3b,TRUE,Site 4,
94346397-3848-4b92-9219-a981ed4265f8,TRUE,Site 5,
0566e68d-26ff-4e1d-a199-a9b8ecc3a7d4,TRUE,Site 6,
9ade8976-a178-4bce-a229-50cfcf61b87d,TRUE,Site 7,
50cfb6ca-a360-41f2-b3a0-7c5a19f4aa98,TRUE,Site 8,
d5be46a5-3afa-40fa-86ab-3c1ff31543e3,TRUE,Site 9,
5f47d469-7c8d-4f34-887c-16db797bec3d,TRUE,Site 10,
d81f9408-1582-4270-848f-6af319424733,TRUE,Site 11,
ffd78808-5b88-4a56-9c94-54754725ad90,TRUE,Site 12,
a61a5145-8da1-4410-be23-479314814cc7,TRUE,Site 13,
5e6abb9d-7ab3-4203-8b02-1462bcca0c51,TRUE,Site 14,
6536f254-a296-4d0f-84f7-9c0f0b12536e,TRUE,Site 15,
0cb740b2-153f-49e2-b599-aabb90330bd2,TRUE,Site 16,
2cead8f3-0e6c-468b-9f10-6a7ca75604dd,TRUE,Site 17,
facac3e6-8c4a-4528-a497-8cf22ffd1a50,TRUE,Site 18,
29fc4038-18d4-4b11-bc2b-63983932e6ac,TRUE,Site 19,
c84338a5-69a7-411a-aa0f-f405cb44697b,TRUE,Site 20,
09d08c88-5b12-4831-8268-62242822180d,TRUE,Site 21,
ac529390-16d6-4454-83be-4fcbbc5988aa,TRUE,Site 22,
b03c3107-fc5b-4b49-a31d-02bf327d6dd4,TRUE,Site 23,
302090a6-11ac-455d-80c9-08c06ebd1087,TRUE,Site 24,
bb5787d4-307e-40ec-89b3-f9f539a5d88f,TRUE,Site 25,
13ecc2c0-7170-4d51-a93d-7189fd885c05,TRUE,Site 26,
6dfacc57-17e6-481e-bde6-36742bf2bb66,TRUE,Site 27,
2425adbe-b446-4d70-a684-5d757370a230,TRUE,Site 28,
d114a8ac-aa7e-4350-a8bf-de2caf0ea440,TRUE,Site 29,
ca22282f-0d68-4c1c-a985-90b69cf943a3,TRUE,Site 30,
8d976ed0-49fe-4ed9-909d-f7b9d4081712,TRUE,Site 31,
370c2cff-4681-40fa-bd29-b557399a6486,TRUE,Site 32,
3ad56ffe-05bc-4ccf-aa87-f517f65e10fd,TRUE,Site 33,
d38b9028-8035-4595-84ca-c8e7c9e2ecd4,TRUE,Site 34,
07032097-5031-4c93-a29a-52a14d124a0a,TRUE,Site 35,
aaf478f9-b3e2-4038-977b-56896a8060e2,TRUE,Site 36,
9a93ba80-8a44-4f99-980c-b1e13dbca33a,TRUE,Site 37,
5c0ff819-e936-4e75-9c1d-4d001a6fd95e,TRUE,Site 38,
743a7d4a-3404-49db-a0ec-beddbdec0919,TRUE,Site 39,
1b1317ae-3688-416d-a8f0-1378b92b9e04,TRUE,Site 40,
c2861e47-ecc1-4e81-992d-7b3c29fce0b0,TRUE,Site 41,
92dbdbdf-17da-4cf0-873c-ad15dfae71cb,TRUE,Site 42,
fd7fae67-7a2e-456c-81db-3cbdb10fd510,TRUE,Site 43,
2ccae22b-26ab-4c40-a813-55462e27a0c8,TRUE,Site 44,
2ef7caf2-affa-4003-8fe7-128db6ce31ee,TRUE,Site 45,
148dc112-9e26-42f9-b514-e28cf2e44b1f,TRUE,Site 46,
6d49188b-2bdf-4c6e-bdff-7eeed3e15a64,TRUE,Site 47,
0fa578fc-301a-418c-9cf9-b35707fcb478,TRUE,Site 48,
eeba7391-361a-41ad-a884-02d5504abaac,TRUE,Site 49,
2592d89f-8655-464e-bb76-5536d394c276,TRUE,Site 50,
